DEBUG 2026-01-01 14:20:48,286 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/urls/conf.py first seen with mtime 1767259365.276533
DEBUG 2026-01-01 14:20:48,286 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/db/backends/sqlite3/schema.py first seen with mtime 1767259365.1531184
DEBUG 2026-01-01 14:20:48,286 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1767259363.7633443
DEBUG 2026-01-01 14:20:48,286 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/lib-dynload/_hmac.cpython-314-darwin.so first seen with mtime 1767168135.258658
DEBUG 2026-01-01 14:20:48,286 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/db/models/fields/proxy.py first seen with mtime 1767259365.1747718
DEBUG 2026-01-01 14:20:48,286 autoreload File /Users/LordCodex/Desktop/ACAD_AI/AcadAI_Project/Acad_ai_app/__init__.py first seen with mtime 1767264846.9433825
DEBUG 2026-01-01 14:20:48,287 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/urllib/parse.py first seen with mtime 1767168103.8200464
DEBUG 2026-01-01 14:20:48,287 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/sqlparse/filters/aligned_indent.py first seen with mtime 1767259362.5072875
DEBUG 2026-01-01 14:20:48,287 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/files/storage/mixins.py first seen with mtime 1767259365.1017623
DEBUG 2026-01-01 14:20:48,287 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/template/loaders/filesystem.py first seen with mtime 1767259365.2639458
DEBUG 2026-01-01 14:20:48,288 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/views/i18n.py first seen with mtime 1767259365.3056839
DEBUG 2026-01-01 14:20:48,289 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/enum.py first seen with mtime 1767168101.2687023
DEBUG 2026-01-01 14:20:48,289 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/email/errors.py first seen with mtime 1767168102.1345167
DEBUG 2026-01-01 14:20:48,289 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/wsgiref/headers.py first seen with mtime 1767168103.8962626
DEBUG 2026-01-01 14:20:48,289 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/tasks.py first seen with mtime 1767168101.8158407
DEBUG 2026-01-01 14:20:48,289 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/db/models/sql/query.py first seen with mtime 1767259365.184289
DEBUG 2026-01-01 14:20:48,290 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/utils/autoreload.py first seen with mtime 1767259365.2819521
DEBUG 2026-01-01 14:20:48,290 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/forms/fields.py first seen with mtime 1767259365.1892722
DEBUG 2026-01-01 14:20:48,290 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1767259365.0755758
DEBUG 2026-01-01 14:20:48,291 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/mail/message.py first seen with mtime 1767259365.1057162
DEBUG 2026-01-01 14:20:48,291 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/core/management/commands/__init__.py first seen with mtime 1767259365.1119065
DEBUG 2026-01-01 14:20:48,291 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/auth/templatetags/__init__.py first seen with mtime 1767259363.7601204
DEBUG 2026-01-01 14:20:48,292 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/contrib/messages/api.py first seen with mtime 1767259364.6082687
DEBUG 2026-01-01 14:20:48,292 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/events.py first seen with mtime 1767168101.7458258
DEBUG 2026-01-01 14:20:48,292 autoreload File /Users/LordCodex/.local/share/virtualenvs/LordCodex-UfxF_O_i/lib/python3.14/site-packages/django/template/smartif.py first seen with mtime 1767259365.2585251
DEBUG 2026-01-01 14:20:48,292 autoreload File /usr/local/Cellar/python@3.14/3.14.2/Frameworks/Python.framework/Versions/3.14/lib/python3.14/concurrent/futures/__init__.py first seen with mtime 1767168101.9329357
